Ticket_ID,Department,Issue_Type,Priority,Created_Date,Assigned_Team,Resolution_Time_Hours,SLA_Hours,Status,Workflow_Type
1001,Customer Support,Access Issue,High,2025-03-06,Process Team,71,48,Open,User Access
1002,Finance,Data Error,Critical,2025-01-15,DevOps,45,12,Closed,Automation
1003,Marketing,Workflow Delay,Medium,2025-03-04,IT Support,2,48,Closed,User Access
1004,Compliance,System Bug,Critical,2025-01-19,IT Support,72,8,Closed,System
1005,Marketing,Data Error,Medium,2025-03-04,DataOps,72,36,Closed,Reporting
1006,HR,Permission Issue,Critical,2025-01-27,IT Support,14,12,Closed,Process
1007,Operations,Reporting Failure,Critical,2025-02-09,IT Support,64,12,Closed,User Access
1008,Customer Support,Permission Issue,Low,2025-02-13,IT Support,30,12,Open,Process
1009,HR,Access Issue,Low,2025-03-22,Analytics Team,72,24,Closed,Process
1010,Sales,Reporting Failure,Low,2025-03-22,Analytics Team,14,24,Closed,Automation
1011,Compliance,Data Error,High,2025-04-22,DataOps,39,36,Open,Automation
1012,Operations,Reporting Failure,Medium,2025-03-26,Analytics Team,19,36,Closed,Reporting
1013,Engineering,Access Issue,Medium,2025-02-11,Process Team,35,36,Closed,Reporting
1014,Marketing,Permission Issue,Critical,2025-02-02,DataOps,5,8,Open,Reporting
1015,HR,Permission Issue,Critical,2025-04-18,IT Support,45,48,Open,Automation
1016,Engineering,Integration Error,Medium,2025-04-22,IT Support,63,8,Closed,System
1017,HR,System Bug,Low,2025-03-22,IT Support,12,12,Closed,Reporting
1018,Marketing,Integration Error,Critical,2025-03-16,Process Team,71,36,Closed,Process
1019,Marketing,Workflow Delay,High,2025-04-11,IT Support,4,36,Open,System
1020,Sales,Reporting Failure,Low,2025-03-20,DataOps,64,36,Closed,Process
1021,Sales,Reporting Failure,Low,2025-03-18,Analytics Team,62,48,Closed,Process
1022,Marketing,Permission Issue,High,2025-01-30,Process Team,44,24,Closed,User Access
1023,Compliance,Workflow Delay,Medium,2025-01-05,Process Team,55,8,Closed,User Access
1024,HR,Reporting Failure,Critical,2025-04-21,DevOps,40,48,Closed,System
1025,Compliance,Permission Issue,Critical,2025-03-27,Process Team,52,24,Open,User Access
1026,Customer Support,Access Issue,High,2025-04-08,Analytics Team,31,36,Open,Process
1027,Operations,Permission Issue,Critical,2025-01-29,IT Support,5,36,Closed,User Access
1028,Customer Support,Reporting Failure,Low,2025-04-19,Process Team,47,8,Closed,Process
1029,Compliance,Integration Error,High,2025-01-25,IT Support,31,24,Closed,User Access
1030,Sales,Access Issue,Low,2025-03-29,DataOps,4,12,Closed,Reporting
